V1,V2,V3
-128.258334997005,-8,-4409
-128.191655020962,-8,-4400
-128.124975044919,-8,-4314
-128.058295068876,-8,-4424
-127.991615092833,-8,-4645
-127.92493511679,-8,-4894
-127.858255140747,-8,-4903
-127.791575164704,-8,-4515
-127.72489518866,-8,-4327
-127.658215212617,-8,-4554
-127.591535236574,-8,-4624
-127.524855260531,-8,-4444
-127.458175284488,-8,-4501
-127.391495308445,-8,-4619
-127.324815332402,-8,-4739
-127.258135356359,-8,-4875
-127.191455380315,-8,-4920
-127.124775404272,-8,-4753
-127.058095428229,-8,-4605
-126.991415452186,-8,-4476
-126.924735476143,-8,-4598
-126.8580555001,-8,-4744
-126.791375524057,-8,-4579
-126.724695548014,-8,-4563
-126.65801557197,-8,-4608
-126.591335595927,-8,-4551
-126.524655619884,-8,-4636
-126.457975643841,-8,-4567
-126.391295667798,-8,-4454
-126.324615691755,-8,-4522
-126.257935715712,-8,-4493
-126.191255739669,-8,-4479
-126.124575763625,-8,-4356
-126.057895787582,-8,-4249
-125.991215811539,-8,-4357
-125.924535835496,-8,-4548
-125.857855859453,-8,-4504
-125.79117588341,-8,-4537
-125.724495907367,-8,-4642
-125.657815931324,-8,-4613
-125.59113595528,-8,-4529
-125.524455979237,-8,-4462
-125.457776003194,-8,-4512
-125.391096027151,-8,-4454
-125.324416051108,-8,-4462
-125.257736075065,-8,-4507
-125.191056099022,-8,-4537
-125.124376122979,-8,-4612
-125.057696146936,-8,-4579
-124.991016170892,-8,-4524
-124.924336194849,-8,-4502
-124.857656218806,-8,-4527
-124.790976242763,-8,-4506
-124.72429626672,-8,-4494
-124.657616290677,-8,-4513
-124.590936314634,-8,-4510
-124.524256338591,-8,-4559
-124.457576362547,-8,-4455
-124.390896386504,-8,-4311
-124.324216410461,-8,-4437
-124.257536434418,-8,-4531
-124.190856458375,-8,-4512
-124.124176482332,-8,-4484
-124.057496506289,-8,-4437
-123.990816530246,-8,-4423
-123.924136554202,-8,-4522
-123.857456578159,-8,-4453
-123.790776602116,-8,-4187
-123.724096626073,-8,-4114
-123.65741665003,-8,-4337
-123.590736673987,-8,-4665
-123.524056697944,-8,-4845
-123.457376721901,-8,-4660
-123.390696745857,-8,-4330
-123.324016769814,-8,-4263
-123.257336793771,-8,-4327
-123.190656817728,-8,-4765
-123.123976841685,-8,-4939
-123.057296865642,-8,-4699
-122.990616889599,-8,-4260
-122.923936913556,-8,-4354
